Y,M,D,Q
2001,4,2,30.58330998
2001,4,3,31.14966758
2001,4,4,30.86648878
2001,4,5,30.30013119
2001,4,6,28.88423721
2001,4,7,30.86648878
2001,4,8,32.56556156
2001,4,9,31.71602517
2001,4,10,29.4505948
2001,4,11,29.4505948
2001,4,12,29.7337736
2001,4,13,30.01695239
2001,4,14,30.58330998
2001,4,15,29.4505948
2001,4,16,28.88423721
2001,4,17,28.88423721
2001,4,18,33.13191915
2001,4,19,38.51231628
2001,4,20,41.06092544
2001,4,21,37.66277989
2001,4,22,37.66277989
2001,4,23,37.94595869
2001,4,24,39.36185267
2001,4,25,45.30860739
2001,4,26,56.06940164
2001,4,27,68.24608987
2001,4,28,77.30781135
2001,4,29,79.85642052
2001,4,30,66.5470171
2001,5,1,60.31708358
2001,5,2,56.06940164
2001,5,3,52.67125609
2001,5,4,48.42357414
2001,5,5,48.98993174
2001,5,6,48.98993174
2001,5,7,47.85721655
2001,5,8,44.459071
2001,5,9,45.02542859
2001,5,10,44.74224979
2001,5,11,43.8927134
2001,5,12,44.459071
2001,5,13,42.75999822
2001,5,14,42.47681942
2001,5,15,44.1758922
2001,5,16,45.02542859
2001,5,17,44.1758922
2001,5,18,43.60953461
2001,5,19,43.60953461
2001,5,20,42.19364063
2001,5,21,41.62728304
2001,5,22,41.91046183
2001,5,23,39.92821026
2001,5,24,40.77774665
2001,5,25,39.64503146
2001,5,26,39.92821026
2001,5,27,43.32635581
2001,5,28,41.34410424
2001,5,29,41.34410424
2001,5,30,40.77774665
2001,5,31,44.459071
2001,6,1,50.97218331
2001,6,2,49.83946812
2001,6,3,51.2553621
2001,6,4,51.5385409
2001,6,5,52.10489849
2001,6,6,50.97218331
2001,6,7,50.12264692
2001,6,8,51.5385409
2001,6,9,53.80397127
2001,6,10,54.65350766
2001,6,11,56.35258044
2001,6,12,55.78622284
2001,6,13,59.46754719
2001,6,14,56.63575923
2001,6,15,53.52079247
2001,6,16,48.70675294
2001,6,17,48.42357414
2001,6,18,48.42357414
2001,6,19,48.42357414
2001,6,20,49.55628933
2001,6,21,50.12264692
2001,6,22,49.55628933
2001,6,23,57.20211682
2001,6,24,60.31708358
